X,Y,address,city,zip,phone,website,island,district,principal,objectid,fax,grade_from,grade_to,complex,complex_area,charter,sch_code,sch_name,sch_type,Enrollment,Teachers,AdminFTE,In list
-157.8308982,21.43534484,47-470 Hui Aeko Place,Kaneohe,96744,808.305.4800,http://www.ahuimanu.k12.hi.us,Oahu,Windward,Kimi Yuki  Ikeda,1,808.239.3127,K,6,Castle,Castle-Kahuku,0,335,Ahuimanu Elem School,Elementary,279,22,4,TRUE
-157.927945,21.37576602,99-370 Moanalua Road,Aiea,96701,808.305.4400,https://www.aieael.k12.hi.us,Oahu,Central,James L  Kau,2,808.483.7201,K,6,Aiea,Aiea-Moanalua-Radford,0,200,Aiea Elem School,Elementary,308,22,4,TRUE
-157.9304686,21.38369077,98-1276 Ulune Street,Aiea,96701,808.305.6500,http://www.aieahs.org/,Oahu,Central,David Fati  Tanuvasa,3,808.483.7303,9,12,Aiea,Aiea-Moanalua-Radford,0,202,Aiea High School,High,1008,62,16,TRUE
-157.922161,21.38108601,99-600 Kulawea Street,Aiea,96701,808.305.9200,http://www.aieais.k12.hi.us/,Oahu,Central,Tom H  Kurashige,4,808.483.7235,7,8,Aiea,Aiea-Moanalua-Radford,0,201,Aiea Inter School,Middle,462,36,7,TRUE
-157.7492431,21.42442854,281 Ilihau Street,Kailua,96734,808.254.7944,http://www.aikahielementary.com/,Oahu,Windward,Keoki L  Fraser,5,808.254.7962,K,6,Kalaheo,Kailua-Kalaheo,0,300,Aikahi Elem School,Elementary,478,31,2,TRUE
-157.7556075,21.2792199,801 West Hind Drive,Honolulu,96821,808.377.2419,http://www.ainahaina.k12.hi.us,Oahu,Honolulu,Brendan P  Burns,6,808.377.2426,K,5,Kaiser,Farrington-Kaiser-Kalani,0,100,Aina Haina Elem School,Elementary,405,29,6,TRUE
-157.826733,21.28472899,503 Kamoku Street,Honolulu,96826,808.973.0070,http://www.alawaielementary.org/,Oahu,Honolulu,Michelle Danette  Debusca,7,808.973.0081,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,101,Ala Wai Elem School,Elementary,363,25,4,TRUE
-159.4919457,21.9253633,2-4035 Kaumualii Hwy,Koloa,96746,808.635.5110,http://www.alakaiokauai.org/,Kauai,Kauai,DJ Adams,8,000.000.0000,K,5,Kauai,Kapaa-Kauai-Waimea,1,558,Alaka'i O Kaua'i,Elementary,172,,,FALSE
-157.9139327,21.34367535,3265 Salt Lake Blvd.,Honolulu,96818,808.421.4280,http://aliamanu.k12.hi.us/,Oahu,Central,Sandra S  Yoshimi,9,808.421.4283,K,6,Radford,Aiea-Moanalua-Radford,0,203,Aliamanu Elem School,Elementary,621,45,7,TRUE
-157.9139327,21.34367535,3271 Salt Lake Blvd.,Honolulu,96818,808.421.4100,http://www.aliamanumiddle.org,Oahu,Central,Albert M IV Hetrick,10,808.421.4103,7,8,Radford,Aiea-Moanalua-Radford,0,204,Aliamanu Middle School,Middle,694,45,7,TRUE
-157.8043683,21.28602584,1240 7th Avenue,Honolulu,96816,808.733.4750,http://www.aliiolani.k12.hi.us/,Oahu,Honolulu,Joseph Andrew  Passantino,11,808.733.4758,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,102,Aliiolani Elem School,Elementary,238,18,3,TRUE
